Height	Weight	Sex	ParentChild	Age	FamilyID
67    	215	1 	1 		75 	1
64    	155	0	1 		63 	1
63.5  	145 	0 	0 		29 	1
71 	227 	1 	0 		26 	1
61     120 	0 	0 		24 	1
68	220 	1 	0 		22 	1
66     165	1 	0 		20 	1
72	178 	1 	0 		18 	1        
73    	208 	1 	1 		52	2 
66	165 	0 	1 		52 	2
73	160 	1 	0 		21	2
75	155 	1 	0 		19	2
71.75 	202	1 	1 		47 	3
68     185	0 	1		45	3
74     190	1 	0 		18	3
74.5	217	1 	0		19	3
61.5  	103 	0 	1 		45 	4
76    	178 	1 	1 		46 	4
70    	123 	1 	0 		23 	4
76    	143 	1 	0 		21 	4
68    	137 	0 	0 		18 	5
68    	118 	1 	1 		49 	5
70.5  	172 	1 	1 		49 	5
71    	157 	1 	0 		21 	5
67.5  	149 	0 	0 		19 	6
64.5  	125 	0 	0 		18 	6
64    	120 	0 	1 		50 	6
73.5  	235 	1 	1 		50 	6
70    	157 	1 	1 		51 	7
64    	130 	0 	1 		49 	7
66    	125 	0 	0 		21 	7
62    	125 	0 	0 		21 	7
72.5  	165 	1 	1 		46 	8
70.5  	155 	0 	1 		45 	8
78    	185 	1 	0 		20 	8
67    	145 	0 	0 		18 	8
66    	120 	0 	0 		21 	9
65.5  	138 	0 	1 		53 	9
64    	127 	0 	0 		28 	9
70    	230 	1 	1 		57 	9
66    	140 	0 	1 		47 	10
72    	175 	1 	1 		47 	10
70    	165 	1 	0 		22 	10
67    	125 	0 	0 		20 	10
71    	173 	1 	0 		22 	11
71    	170 	1 	0 		19 	11
70    	178 	1 	1 		48 	11
65    	121 	0 	1 		49 	11
70    	175 	1 	0 		22 	12
72    	170 	1 	0 		23 	12
68    	163 	1 	1 		53 	12
64    	150 	0 	1 		49 	12
76    	140 	1 	0 		21 	13
74    	190 	1 	0 		18 	13
70    	175 	1 	1 		46 	13
68    	150 	0 	1 		48 	13
68    	220 	1 	1 		53 	14
67    	185 	0 	1 		50 	14
74    	200 	1 	0 		21 	14
72    	278 	1 	1 		47 	15
65    	130 	0 	1 		43 	15
63    	120 	0 	0 		22 	15
64    	135 	1 	0 		19 	15
70    	157 	1 	1 		54 	16
64    	132 	0 	1 		50	17
74    	164 	1 	0 		18 	17
73    	170 	1 	1 		22 	17
70    	151 	1 	1 		25 	17
72    	178 	1 	1 		50 	18
65    	144 	0 	1 		48 	18
59   	120 	0 	0 		23 	18
