"y" "Volume" "Rate"
"1" 1 3.7 0.825
"2" 1 3.5 1.09
"3" 1 1.25 2.5
"4" 1 0.75 1.5
"5" 1 0.8 3.2
"6" 1 0.7 3.5
"7" 0 0.6 0.75
"8" 0 1.1 1.7
"9" 0 0.9 0.75
"10" 0 0.9 0.45
"11" 0 0.8 0.57
"12" 0 0.55 2.75
"13" 0 0.6 3
"14" 1 1.4 2.33
"15" 1 0.75 3.75
"16" 1 2.3 1.64
"17" 1 3.2 1.6
"18" 1 0.85 1.415
"19" 0 1.7 1.06
"20" 1 1.8 1.8
"21" 0 0.4 2
"22" 0 0.95 1.36
"23" 0 1.35 1.35
"24" 0 1.5 1.36
"25" 1 1.6 1.78
"26" 0 0.6 1.5
"27" 1 1.8 1.5
"28" 0 0.95 1.9
"29" 1 1.9 0.95
"30" 0 1.6 0.4
"31" 1 2.7 0.75
"32" 0 2.35 0.03
"33" 0 1.1 1.83
"34" 1 1.1 2.2
"35" 1 1.2 2
"36" 1 0.8 3.33
"37" 0 0.95 1.9
"38" 0 0.75 1.9
"39" 1 1.3 1.625
