"mburlap" "meegg" "seegg"
"1" 7.0833 13 7.6
"2" 0.3333 9.5 9.52
"3" 22.25 3545.7 455.25
"4" 2.3333 0 0
"5" 0.4167 8.5 5.83
"6" 2 1.4 1.42
"7" 9 0 0
"8" 24.9167 60.8 25.47
"9" 11.6667 1290.3 584.44
"10" 22.0833 820 268.64
"11" 0.5833 14.8 10.34
"12" 46.9167 197.5 46.98
"13" 0 3 2.13
"14" 9.4167 182.1 44.8
"15" 0 0 0
"16" 0 0 0
"17" 0 0.3 0.29
"18" 8.1667 302.6 97.52
"19" 6.5833 986.9 210.04
"20" 13.3333 1472.4 216.09
"21" 12.6667 313.2 72.6
"22" 0 0 0
"23" 0.0833 0 0
"24" 0 0.2 0.18
"25" 0.2222 0 0
"26" 4.8333 93.8 52.4
"27" 3.9167 0 0
"28" 0.0833 0 0
"29" 0.3333 0 0
"30" 0.8333 0 0
"31" 1 0 0
"32" 2 9.5 9.52
"33" 0.4167 3.4 2.65
"34" 6.75 17.4 12.98
"35" 11.1667 127.6 68.16
"36" 1.9167 4.3 2.83
"37" 0.3846 42.5 25.89
"38" 3.9167 25 11.51
"39" 0 4 3.95
"40" 0 0.4 0.42
"41" 84 2095.6001 281.95
"42" 38.5833 4430.5 1318.78
"43" 19.6667 202.4 99.38
"44" 0 0.4 0.42
"45" 144.5 5908.7998 694.15
"46" 38.8462 2196.8 706.7
"47" 1.5833 20 5.66
"48" 0 0 0
"49" 34.1667 690.5 163.67
"50" 118.1538 3561.8 1042.95
"51" 0.5 3.2 1.58
