"row.names","yn","agen","sensn","frn","alcmov"
1,0,4,1,1,4.26996983000301
2,0,1,1,1,3.48661023616095
3,0,3,1,1,5.3519305197085
4,1,4,1,3,3.89724771468402
5,0,2,1,1,3.44557432913963
6,0,3,1,1,3.96488651566108
7,0,0,1,1,1.2979451683085
8,0,2,0,1,3.31039095691126
9,0,0,1,1,4.72848362285884
10,0,2,1,1,4.00701415629861
11,0,2,0,1,4.1320649499713
12,0,0,0,1,4.18716411357693
13,0,0,0,1,3.91243955989264
14,0,0,0,1,0
15,0,0,0,1,2.72103738801519
16,0,3,1,1,4.12731556675081
17,0,4,1,1,4.61467708273192
18,0,2,1,1,4.53716464278905
19,0,0,0,1,1.68910533020338
20,0,3,0,1,5.68113287866593
21,0,2,0,1,3.93582507595289
22,0,3,1,3,5.13139773745602
23,0,1,0,1,4.92142523490753
24,0,2,1,1,3.99539622504978
25,0,1,0,1,3.59411419836707
26,1,3,1,3,4.62520077155992
27,1,3,1,2,5.04588888410128
28,0,0,0,1,3.66625705528295
29,0,3,0,1,4.59884590854803
30,0,4,1,2,4.31809400904611
31,0,4,1,1,3.8565594740432
32,0,3,1,1,4.60888877310855
33,0,3,0,1,3.99333188363779
34,0,0,0,1,2.65067784962022
35,0,3,0,1,3.50909202957905
36,0,3,1,1,4.37491810824296
37,0,4,0,1,4.1610609288283
38,0,0,0,1,4.10613053164738
39,0,0,1,1,4.69374574453541
40,0,1,1,1,4.28438811620359
41,0,3,1,1,4.18829543957608
42,0,0,0,1,4.29592395640901
43,0,1,1,1,3.28197526552428
44,0,0,0,1,2.81096167920703
45,0,4,0,1,4.03404684625822
46,0,4,1,1,3.43934912722708
47,0,3,1,1,4.8697298912124
48,0,4,1,1,4.90651720202087
49,0,2,1,1,3.99485251802033
50,0,4,1,3,4.21701596218347
51,0,1,1,1,3.69225215143667
52,0,2,0,1,3.51116264326042
53,0,1,0,1,3.97368576294244
54,1,3,1,2,4.51017673610988
55,0,4,0,2,5.23053032924801
56,0,1,0,1,4.06117417849334
57,0,0,0,1,3.81389252234868
58,1,4,1,2,3.47733502764519
59,0,2,0,1,2.87399918356857
60,0,2,1,2,3.65449499645658
61,0,1,1,2,4.72362268879907
62,0,1,1,1,3.67656998223913
63,0,0,0,1,4.37378381335875
64,1,4,1,2,4.80128504401193
65,0,3,1,1,4.1418807822049
66,0,0,1,2,4.40910978454109
67,0,0,0,1,3.47357381315206
68,0,2,0,1,4.42212110020479
69,0,0,1,1,2.37804351619645
70,0,4,0,1,3.99539622504978
71,0,1,0,1,2.46406383840022
72,0,2,0,1,0
73,0,0,1,1,3.217109587033
74,0,2,1,1,4.36400810142795
75,0,1,1,1,3.29053183406558
76,1,2,1,3,4.91815444130209
77,0,4,0,1,4.37413472401877
78,0,0,1,1,3.61091791264422
79,0,1,1,2,4.2572480664025
80,0,3,1,1,4.5836731476085
81,0,1,0,2,2.36990988190653
82,0,2,1,1,3.70552106445159
83,0,0,0,1,3.95753843629778
84,0,3,1,1,2.79090583861265
85,0,0,0,1,3.59704362801755
86,1,0,1,2,4.33761979782394
87,0,4,1,3,4.59249011119581
88,0,0,0,1,3.76762987605848
89,0,1,0,1,3.97771218761978
90,1,4,1,1,4.47597221626263
91,0,1,0,1,4.47805579977622
92,1,3,1,2,4.01523079975943
93,0,4,0,1,3.07121917273107
94,0,3,1,1,4.22353396784081
95,0,2,0,1,4.17257570286508
96,0,1,1,1,4.50146667280104
97,1,1,1,1,4.32758195735446
98,0,1,1,1,2.67640197604563
99,0,1,1,1,2.80154571382057
100,1,4,1,1,4.82408777949206
101,0,1,0,1,3.56530870869838
102,0,1,1,1,3.36197664816382
103,0,4,1,2,5.0869102079135
104,0,3,0,1,5.02917213709292
105,0,1,0,1,2.78760697436005
106,0,4,1,2,1.51491173174832
107,0,2,1,1,4.36816519535812
108,0,3,0,1,5.0536724115442
109,0,0,0,1,3.00841745512
110,0,2,0,1,3.99333188363779
111,0,4,1,1,4.49306864050334
112,0,0,0,1,4.1085476974292
113,0,2,1,1,4.72498132857512
114,0,3,1,1,3.75141005581689
115,0,4,0,1,3.90662385845199
116,0,1,0,1,3.38072785647137
117,0,3,0,1,0
118,0,4,0,1,4.60501392377979
119,0,1,0,1,4.02264238171453
120,0,3,1,3,3.93973668179472
121,1,3,1,1,4.50813125598094
122,0,0,0,1,3.28292210508596
123,0,1,0,1,3.89341341617897
124,0,1,0,1,4.25005249621947
125,1,4,1,1,5.40612082626759
