"Untreated Tumor (1)"	C2	0.111	-1
"Untreated Tumor (1)"	C2	0.256	0
"Untreated Tumor (1)"	C2	0.221	2
"Untreated Tumor (1)"	C2	0.937	5
"Untreated Tumor (1)"	C2	1.173	6
"Untreated Tumor (1)"	H1	0.063	-4
"Untreated Tumor (1)"	H1	0.092	-3
"Untreated Tumor (1)"	H1	0.118	-2
"Untreated Tumor (1)"	H1	0.159	-1
"Untreated Tumor (1)"	H1	0.302	0
"Untreated Tumor (1)"	H1	0.768	2
"Untreated Tumor (1)"	H1	1.225	3
"Untreated Tumor (1)"	I2	0.031	-5
"Untreated Tumor (1)"	I2	0.042	-4
"Untreated Tumor (1)"	I2	0.166	-3
"Untreated Tumor (1)"	I2	0.114	-2
"Untreated Tumor (1)"	I2	0.143	-1
"Untreated Tumor (1)"	I2	0.36	0
"Untreated Tumor (1)"	I2	0.997	2
"Untreated Tumor (1)"	J4	0.091	-2
"Untreated Tumor (1)"	J4	0.193	-1
"Untreated Tumor (1)"	J4	0.57	0
"Untreated Tumor (1)"	J4	0.711	2
"Untreated Tumor (1)"	J4	1.425	5
"Untreated Tumor (1)"	K4	0.349	-1
"Untreated Tumor (1)"	K4	0.355	0
"Untreated Tumor (1)"	K4	0.743	1
"Untreated Tumor (1)"	K4	0.771	3
"Untreated Tumor (1)"	K4	2.174	6
"Untreated Tumor (1)"	M4	0.058	-5
"Untreated Tumor (1)"	M4	0.107	-4
"Untreated Tumor (1)"	M4	0.078	-3
"Untreated Tumor (1)"	M4	0.149	-2
"Untreated Tumor (1)"	M4	0.19	-1
"Untreated Tumor (1)"	M4	0.306	0
"Untreated Tumor (1)"	M4	0.461	2
"Untreated Tumor (1)"	M4	0.431111	4
"Untreated Tumor (1)"	M4	0.769	5
"Untreated Tumor (1)"	M4	0.7	6
"Untreated Tumor (1)"	M4	1.022353	7
"Untreated Tumor (1)"	N1	0.153	-2
"Untreated Tumor (1)"	N1	0.232	-1
"Untreated Tumor (1)"	N1	0.206	0
"Untreated Tumor (1)"	N1	0.317	2
"Untreated Tumor (1)"	N1	0.702	5
"Untreated Tumor (1)"	N1	1.256	6
"Untreated Tumor (1)"	P4	0.182	-1
"Untreated Tumor (1)"	P4	0.339	0
"Untreated Tumor (1)"	P4	0.546	1
"Untreated Tumor (1)"	P4	0.725	3
"Untreated Tumor (1)"	P4	2.24	6
"Untreated Tumor (1)"	R4	0.045	-6
"Untreated Tumor (1)"	R4	0.08	-5
"Untreated Tumor (1)"	R4	0.09	-4
"Untreated Tumor (1)"	R4	0.088	-3
"Untreated Tumor (1)"	R4	0.154	-2
"Untreated Tumor (1)"	R4	0.191	-1
"Untreated Tumor (1)"	R4	0.278	0
"Untreated Tumor (1)"	R4	0.583	1
"Untreated Tumor (1)"	R4	0.706	2
"Untreated Tumor (1)"	S3	0.03	-6
"Untreated Tumor (1)"	S3	0.035	-5
"Untreated Tumor (1)"	S3	0.047	-4
"Untreated Tumor (1)"	S3	0.076	-3
"Untreated Tumor (1)"	S3	0.14	-2
"Untreated Tumor (1)"	S3	0.144	-1
"Untreated Tumor (1)"	S3	0.331	0
"Untreated Tumor (1)"	S3	0.655	2
"Untreated Tumor (1)"	S3	1.003	3
"Untreated Tumor (1)"	T3	0.25	-1
"Untreated Tumor (1)"	T3	0.26	0
"Untreated Tumor (1)"	T3	0.775	1
"Untreated Tumor (1)"	T3	0.35	3
"Untreated Tumor (1)"	T3	0.967	6
"Untreated Tumor (1)"	T3	1.199	7
"Untreated Tumor (1)"	U4	0.035	-5
"Untreated Tumor (1)"	U4	0.047	-4
"Untreated Tumor (1)"	U4	0.061	-3
"Untreated Tumor (1)"	U4	0.087	-2
"Untreated Tumor (1)"	U4	0.133	-1
"Untreated Tumor (1)"	U4	0.248	0
"Untreated Tumor (1)"	U4	0.369	1
"Untreated Tumor (1)"	U4	0.495	3
"Untreated Tumor (1)"	U4	0.9978005	5
"Untreated Tumor (1)"	EEE2	0.009	-8
"Untreated Tumor (1)"	EEE2	0.017	-7
"Untreated Tumor (1)"	EEE2	0.029	-6
"Untreated Tumor (1)"	EEE2	0.041	-5
"Untreated Tumor (1)"	EEE2	0.072	-4
"Untreated Tumor (1)"	EEE2	0.124	-3
"Untreated Tumor (1)"	EEE2	0.151	-2
"Untreated Tumor (1)"	EEE2	0.177	-1
"Untreated Tumor (1)"	EEE2	0.256	0
"Untreated Tumor (1)"	EEE2	0.446	1
"Untreated Tumor (1)"	EEE2	0.67	2
"Untreated Tumor (1)"	EEE2	0.891	3
"Untreated Tumor (1)"	EEE2	1.001	4
"Untreated Tumor (1)"	FFF2	0.068	-2
"Untreated Tumor (1)"	FFF2	0.107	-1
"Untreated Tumor (1)"	FFF2	0.203	0
"Untreated Tumor (1)"	FFF2	0.422	1
"Untreated Tumor (1)"	FFF2	0.485	2
"Untreated Tumor (1)"	FFF2	0.517	4
"Untreated Tumor (1)"	FFF2	0.617	5
"Untreated Tumor (1)"	FFF2	0.966	6
"Untreated Tumor (1)"	FFF2	1.181	7
"Untreated Tumor (1)"	FFF4	0.02	-4
"Untreated Tumor (1)"	FFF4	0.042	-3
"Untreated Tumor (1)"	FFF4	0.11	-2
"Untreated Tumor (1)"	FFF4	0.159	-1
"Untreated Tumor (1)"	FFF4	0.214	0
"Untreated Tumor (1)"	FFF4	0.572	1
"Untreated Tumor (1)"	FFF4	0.521	2
