"id" "day" "Dose" "LOGTV"
"1" 1 -14 0 2.24601474150565
"2" 1 -12 0 3.28573551234557
"3" 1 -9 0 3.36683634425098
"4" 1 -6 0 4.28319996773544
"5" 1 -2 0 4.52053597555778
"6" 1 0 0 4.87704345337346
"7" 1 2 0 5.30133763239721
"8" 1 5 0 5.38586703722391
"9" 1 7 0 5.40627551530758
"10" 1 9 0 5.85793315448346
"11" 1 12 0 6.09343877769796
"12" 1 14 0 6.48599865677074
"13" 1 16 0 6.60909608635219
"14" 1 20 0 6.94199212868569
"15" 1 23 0 7.13315954853787
"16" 1 26 0 7.3310508631017
"17" 1 28 0 7.59796452967859
"18" 2 -14 0 3.19999789158565
"19" 2 -12 0 3.44377628583231
"20" 2 -9 0 4.05197394799456
"21" 2 -6 0 4.4065571150909
"22" 2 -2 0 4.6601716101568
"23" 2 0 0 5.09169471883447
"24" 2 2 0 5.82762909350718
"25" 2 5 0 5.50434965420185
"26" 2 7 0 6.00089842418995
"27" 2 9 0 6.21645850518921
"28" 2 12 0 6.80484081974625
"29" 2 14 0 7.15226808720402
"30" 2 16 0 7.18358446473635
"31" 2 20 0 7.41303848190849
"32" 2 23 0 7.64881685719211
"33" 2 26 0 7.89939798418686
"34" 2 28 0 7.89939798418686
"35" 3 -14 0 2.67753785018332
"36" 3 -12 0 2.54702078469888
"37" 3 -9 0 3.28573551234557
"38" 3 -6 0 3.77849161280362
"39" 3 -2 0 4.05197394799456
"40" 3 0 0 3.89393317450782
"41" 3 2 0 4.19493921770104
"42" 3 5 0 4.52053597555778
"43" 3 7 0 4.59197804904167
"44" 3 9 0 5.04084239132095
"45" 3 12 0 5.32292073857536
"46" 3 14 0 5.57843878719622
"47" 3 16 0 5.73286074107488
"48" 3 20 0 6.20460073592854
"49" 3 23 0 6.28570156783395
"50" 3 26 0 6.48599865677074
"51" 3 28 0 6.59997751723762
"52" 4 -14 0 2.90876386992421
"53" 4 -12 0 3.5867415555388
"54" 4 -9 0 3.89393317450782
"55" 4 -6 0 4.44552034469579
"56" 4 -2 0 4.81821238364354
"57" 4 0 0 4.98820541160405
"58" 4 2 0 5.25721680458777
"59" 4 5 0 5.6490400534832
"60" 4 7 0 5.59640307376629
"61" 4 9 0 6.11886311516862
"62" 4 12 0 6.28570156783395
"63" 4 14 0 6.4459962861475
"64" 4 16 0 6.65387553107672
"65" 4 20 0 7.01309548702757
"66" 4 23 0 7.39699554823337
"67" 4 26 0 7.32542233867387
"68" 4 28 0 7.60265936919198
"69" 5 -14 0 2.54702078469888
"70" 5 -12 0 3.19999789158565
"71" 5 -9 0 3.44377628583231
"72" 5 -6 0 3.83732268253355
"73" 5 -2 0 4.32545628318549
"74" 5 0 0 4.6601716101568
"75" 5 2 0 4.75697939186316
"76" 5 5 0 5.16487996508862
"77" 5 7 0 4.96117765335003
"78" 5 9 0 5.5602567463977
"79" 5 12 0 5.73286074107488
"80" 5 14 0 5.90227135784578
"81" 5 16 0 6.3191602041054
"82" 5 20 0 6.80484081974625
"83" 5 23 0 7.60733956019635
"84" 5 26 0 7.23236925229469
"85" 5 28 0 7.4341655917311
"86" 6 -14 0 3.51696153208646
"87" 6 -12 0 3.44377628583231
"88" 6 -9 0 4.32545628318549
"89" 6 -6 0 4.72539927806641
