This is a simple dataset I use to illustrate how the mixed model treats clustered data (Chapter 2).
The first column (F) is the family indicator. Each family is a cluster. 
For example, the first family consists of 8 adult people. 
The second and the third columns are height (in inches) and weight (in pounds).

F  H  W	
1 61 120
1 64 155
1 66 165
1 71 227
1 63.5 145
1 68 220
1 72 178
1 67 215
2 73 208
2 66 165
2 73 160
2 75 155
3 71.75 202
3 74 190
3 68 185
3 74.5 217
4 76 178
4 76 143
4 61.5 103
4 70 123
5 68 118
5 68 137
5 71 157
5 70.5 172
6 73.5 235
6 64 120
6 67.5 149
6 64.5 125
7 62 125
7 70 157
7 66 125
7 64 130
8 72.5 165
8 67 145
8 70.5 155
8 78 185
9 65.5 138
9 70 230
9 66 120
9 64 127
10 72 175
10 70 165
10 66 140
10 67 125
11 71 170
11 65 121
11 70 178
11 71 173
12 72 170
12 64 150
12 70 175
12 68 163
13 76 140
13 68 150
13 74 190
13 70 175
14 68 220
14 74 200
14 67 185
15 72 278
15 65 130
15 63 120
15 64 135
17 70 151
17 70 157
17 64 132
17 73 170
17 74 164
18 59 120
18 72 178
18 65 144
19 65.5 120
19 71 220
19 66.5 134
19 68.5 130
