This is an example of our Gompertz Transient regrowth curve applied to four radiation groups (Chapter 10).
Reference:  Rygaardt, K. and Spang-Thomsen, M. (1997). Quantitation and Gompertzian analysis of tumor growth. Breast Cancer Research and Treatment 46, 303--312.
Here id indicates mouse id; day is in days after radiation treatment (0 means the day of radiation); Dose is the dose of a single radiation; LTV is LOG tumor volume.

obs id day Dose      LTV 
 1  1 -14  0 2.246014742
 2  1 -12  0 3.285735512
 3  1  -9  0 3.366836344
 4  1  -6  0 4.283199968
 5  1  -2  0 4.520535976
 6  1   0  0 4.877043453
 7  1   2  0 5.301337632
 8  1   5  0 5.385867037
 9  1   7  0 5.406275515
10  1   9  0 5.857933154
11  1  12  0 6.093438778
12  1  14  0 6.485998657
13  1  16  0 6.609096086
14  1  20  0 6.941992129
15  1  23  0 7.133159549
16  1  26  0 7.331050863
17  1  28  0 7.597964530
18  2 -14  0 3.199997892
19  2 -12  0 3.443776286
20  2  -9  0 4.051973948
21  2  -6  0 4.406557115
22  2  -2  0 4.660171610
23  2   0  0 5.091694719
24  2   2  0 5.827629094
25  2   5  0 5.504349654
26  2   7  0 6.000898424
27  2   9  0 6.216458505
28  2  12  0 6.804840820
29  2  14  0 7.152268087
30  2  16  0 7.183584465
31  2  20  0 7.413038482
32  2  23  0 7.648816857
33  2  26  0 7.899397984
34  2  28  0 7.899397984
35  3 -14  0 2.677537850
36  3 -12  0 2.547020785
37  3  -9  0 3.285735512
38  3  -6  0 3.778491613
39  3  -2  0 4.051973948
40  3   0  0 3.893933175
41  3   2  0 4.194939218
42  3   5  0 4.520535976
43  3   7  0 4.591978049
44  3   9  0 5.040842391
45  3  12  0 5.322920739
46  3  14  0 5.578438787
47  3  16  0 5.732860741
48  3  20  0 6.204600736
49  3  23  0 6.285701568
50  3  26  0 6.485998657
51  3  28  0 6.599977517
52  4 -14  0 2.908763870
53  4 -12  0 3.586741556
54  4  -9  0 3.893933175
55  4  -6  0 4.445520345
56  4  -2  0 4.818212384
57  4   0  0 4.988205412
58  4   2  0 5.257216805
59  4   5  0 5.649040053
60  4   7  0 5.596403074
61  4   9  0 6.118863115
62  4  12  0 6.285701568
63  4  14  0 6.445996286
64  4  16  0 6.653875531
65  4  20  0 7.013095487
66  4  23  0 7.396995548
67  4  26  0 7.325422339
68  4  28  0 7.602659369
69  5 -14  0 2.547020785
70  5 -12  0 3.199997892
71  5  -9  0 3.443776286
72  5  -6  0 3.837322683
73  5  -2  0 4.325456283
74  5   0  0 4.660171610
75  5   2  0 4.756979392
76  5   5  0 5.164879965
77  5   7  0 4.961177653
78  5   9  0 5.560256746
79  5  12  0 5.732860741
80  5  14  0 5.902271358
81  5  16  0 6.319160204
82  5  20  0 6.804840820
83  5  23  0 7.607339560
84  5  26  0 7.232369252
85  5  28  0 7.434165592
86  6 -14  0 3.516961532
87  6 -12  0 3.443776286
88  6  -9  0 4.325456283
89  6  -6  0 4.725399278
90  6  -2  0 5.116488672
91  6   0  0 5.426410046
92  6   2  0 5.716467135
93  6   5  0 6.180600224
94  6   7  0 6.239896482
95  6   9  0 6.618159558
96  6  12  0 6.851965114
97  6  14  0 7.067646953
98  6  16  0 7.202065191
 99  6  20  0 7.791782127
100  6  23  0 8.120701145
101  6  26  0 8.169671762
102  6  28  0 8.278078055
103  7 -14  0 3.199997892
104  7 -12  0 3.109060959
105  7  -9  0 3.948484641
106  7  -6  0 4.194939218
107  7  -2  0 4.693139970
108  7   0  0 4.905615746
109  7   2  0 4.961177653
110  7   5  0 5.188502501
111  7   7  0 5.301337632
112  7   9  0 5.504349654
113  7  12  0 5.683132430
114  7  14  0 5.872858651
115  7  16  0 5.945336517
116  7  20  0 6.285701568
117  7  23  0 6.445996286
118  7  26  0 6.118863115
119  7  28  0 6.796840801
120  8 -14  0 2.677537850
121  8 -12  0 2.797601912
122  8  -9  0 3.285735512
123  8  -6  0 3.837322683
124  8  -2  0 4.366554744
125  8   0  0 3.837322683
126  8   2  0 4.693139970
127  8   5  0 5.211758780
128  8   7  0 5.140879453
129  8   9  0 6.000898424
130  8  12  0 5.945336517
131  8  14  0 6.143863694
132  8  16  0 6.228223271
133  8  20  0 6.534546584
134  8  23  0 7.262073193
135  8  26  0 6.934692844
136  8  28  0 7.139556147
137  9 -14  0 2.404055515
138  9 -12  0 2.404055515
139  9  -9  0 2.908763870
140  9  -6  0 3.109060959
141  9  -2  0 3.586741556
142  9   0  0 3.653419199
143  9   2  0 4.001121620
144  9   5  0 4.445520345
145  9   7  0 3.948484641
146  9   9  0 5.116488672
147  9  12  0 5.066484041
148  9  14  0 5.614154760
149  9  16  0 5.872858651
150  9  20  0 5.541851608
151  9  23  0 5.780993213
152  9  26  0 5.916764224
153  9  28  0 6.106204812
154 10 -14  0 2.677537850
155 10 -12  0 3.012253177
156 10  -9  0 3.285735512
157 10  -6  0 3.778491613
158 10  -2  0 3.893933175
159 10   0  0 4.366554744
160 10   2  0 4.520535976
161 10   5  0 4.520535976
162 10   7  0 4.693139970
163 10   9  0 5.211758780
164 10  12  0 5.931118401
165 10  14  0 5.716467135
166 10  16  0 6.296937575
167 10  20  0 6.394444821
168 10  23  0 6.515315551
169 10  26  0 6.722853201
170 10  28  0 6.645025948
171 11 -14  0 3.366836344
172 11 -12  0 3.653419199
173 11  -9  0 4.001121620
174 11  -6  0 4.194939218
175 11  -2  0 4.818212384
176 11   0  0 5.014754777
177 11   2  0 5.649040053
178 11   5  0 5.857933154
179 11   7  0 5.945336517
180 11   9  0 6.228223271
181 11  12  0 6.476097631
182 11  14  0 6.609096086
183 11  16  0 6.764407105
184 11  20  0 7.094196319
185 11  23  0 7.285419968
186 11  26  0 7.396995548
187 11  28  0 7.505851587
188 12 -14  0 2.797601912
189 12 -12  0 2.797601912
190 12  -9  0 3.012253177
191 12  -6  0 3.366836344
192 12  -2  0 3.948484641
193 12   0  0 4.001121620
194 12   2  0 4.556682303
195 12   5  0 4.591978049
196 12   7  0 4.756979392
197 12   9  0 4.877043453
198 12  12  0 5.188502501
199 12  14  0 5.406275515
200 12  16  0 5.091694719
201 12  20  0 5.666183097
202 12  23  0 5.796700163
203 12  26  0 5.596403074
204 12  28  0 5.523217828
205 13 -14  0 2.908763870
206 13 -12  0 3.516961532
207 13  -9  0 3.586741556
208 13  -6  0 4.693139970
209 13  -2  0 4.847916325
210 13   0  0 5.188502501
211 13   2  0 5.560256746
212 13   5  0 5.523217828
213 13   7  0 5.649040053
214 13   9  0 5.931118401
215 13  12  0 6.435826756
216 13  14  0 6.456097334
217 13  16  0 6.739613152
218 13  20  0 6.999141898
219 13  23  0 7.267944042
220 13  26  0 7.250262109
221 13  28  0 7.391609546
222 14 -14  0 3.285735512
223 14 -12  0 3.285735512
224 14  -9  0 3.586741556
225 14  -6  0 4.283199968
226 14  -2  0 5.091694719
227 14   0  0 5.614154760
228 14   2  0 5.732860741
229 14   5  0 6.228223271
230 14   7  0 6.216458505
231 14   9  0 6.747923422
232 14  12  0 6.828588018
233 14  14  0 7.113804441
234 14  16  0 7.250262109
235 14  20  0 7.495818105
236 14  23  0 7.500843236
237 14  26  0 7.621293149
238 14  28  0 7.555036322
239 15 -14  0 3.109060959
240 15 -12  0 3.366836344
241 15  -9  0 3.516961532
242 15  -6  0 4.101158682
243 15  -2  0 5.040842391
244 15   0  0 5.234659989
245 15   2  0 5.578438787
246 15   5  0 5.780993213
247 15   7  0 5.666183097
248 15   9  0 6.285701568
249 15  12  0 6.485998657
