Group,id,Time,TumVol
0,1,0,120.1
0,1,1,162.8
0,1,2,269.8
0,1,3,470.6
0,1,4,536.6
0,1,5,860.7
0,1,6,795.9
0,1,7,1013.3
0,2,0,162.7
0,2,1,284.3
0,2,2,393.1
0,2,3,464
0,2,4,632.1
0,2,5,348.6
0,2,6,837.1
0,2,7,1617
0,3,0,155.2
0,3,1,233.1
0,3,2,276.6
0,3,3,244.9
0,3,4,468.6
0,3,5,579.3
0,3,6,662.5
0,4,0,224.6
0,4,1,202.3
0,4,2,441.6
0,4,3,469.2
0,4,4,509.8
0,4,5,631.7
0,4,6,1240.5
0,4,7,1865
0,4,8,2201.9
0,4,9,3004.7
0,5,0,170.2
0,5,1,271.7
0,5,2,367.3
0,5,3,447.9
0,5,4,650.4
0,5,5,630.7
0,5,6,671.9
0,5,7,1929.3
0,6,0,135.2
0,6,1,88.5
0,6,2,278.8
0,6,3,357.1
0,6,4,315.1
0,6,5,932.7
0,6,6,1090.8
0,6,7,1334.3
0,6,8,2597.7
1,7,0,141.8
1,7,1,152.6
1,7,2,175.2
1,7,3,357.3
1,7,4,355.2
1,7,5,503
1,7,6,733.1
1,8,0,174.2
1,8,1,197.2
1,8,2,238.6
1,8,3,423.8
1,8,4,351
1,8,5,756.1
1,8,6,609.8
1,8,7,864.6
1,8,8,1377.3
1,8,9,1834.5
1,8,10,2963.9
1,9,0,141.5
1,9,1,204.4
1,9,2,248.7
1,9,3,242.5
1,9,4,477.9
1,9,5,864.2
1,9,6,961.1
1,9,7,912.1
1,9,8,1929
1,9,9,2164.3
1,10,0,155.2
1,10,1,176.3
1,10,2,244.6
1,10,3,356.5
1,10,4,546.2
1,10,5,520.6
1,10,6,669.3
1,11,0,177.9
1,11,1,262.8
1,11,2,163.9
1,11,3,396.6
1,11,4,445.4
1,11,5,546.6
1,11,6,643.4
1,11,7,1322.5
1,11,8,1525.9
1,11,9,658.7
1,12,0,54.7
1,12,1,221.1
1,12,2,163.5
1,12,3,269.9
1,12,4,379.7
1,12,5,430.2
1,12,6,729.4
1,12,7,454
1,12,8,1263.2
1,12,9,2501
1,12,10,2326.2
2,13,0,160
2,13,1,180.1
2,13,2,154.7
2,13,3,253.5
2,13,4,309.2
2,13,5,465.6
2,13,6,392.4
2,13,7,1099.3
2,13,8,881.9
2,13,9,1529
2,14,0,111.6
2,14,1,141
2,14,2,170.3
2,14,3,233.4
2,14,4,359
2,14,5,353.4
2,14,6,289.5
2,14,7,416.8
2,14,8,574.3
2,14,9,1039.9
2,14,10,1774.3
2,15,0,145
2,15,1,138.8
2,15,2,244.3
2,15,3,313.8
2,15,4,364
2,15,5,478
2,15,6,451.2
2,15,7,864.9
2,15,8,1035.6
2,16,0,144.1
2,16,1,199.9
2,16,2,155.4
2,16,3,211.1
2,16,4,395.4
2,16,5,547
2,16,6,652.8
2,16,7,1011
2,16,8,1083.2
2,16,9,1125.5
2,17,0,101.1
2,17,1,89.6
2,17,2,174.7
2,17,3,173.2
2,17,4,293.4
2,17,5,232.8
2,17,6,582.5
2,17,7,483.1
2,17,8,869.5
2,18,0,215
2,18,1,158.9
2,18,2,198.4
2,18,3,323.8
2,18,4,431.5
2,18,5,482.4
2,18,6,684
2,18,7,826.5
2,18,8,1406.1
2,19,0,160.2
2,19,1,126.9
2,19,2,209.1
2,19,3,310.2
2,19,4,220.5
2,19,5,433.9
2,19,6,539.9
2,19,7,603.6
2,20,0,137.8
2,20,1,179
2,20,2,179.1
2,20,3,212
2,20,4,345.6
2,20,5,256.9
2,20,6,512.8
2,20,7,671.9
3,21,0,97.2
3,21,1,102.1
3,21,2,158.2
3,21,3,131.6
3,21,4,159
3,21,5,255.6
3,21,6,303.4
3,22,0,114.3
3,22,1,155.4
3,22,2,249.4
3,22,3,179
3,22,4,149.6
3,22,5,594.2
3,22,6,548.4
3,22,7,673.2
3,22,8,762.7
3,22,9,1336.9
3,23,0,157.9
3,23,1,179.7
3,23,2,171.2
3,23,3,189.1
3,23,4,254.1
3,23,5,261.6
3,23,6,358.8
3,23,7,409.8
3,23,8,668.6
3,23,9,992.2
3,23,10,1131.8
3,24,0,222.5
3,24,1,197.2
3,24,2,200.1
3,24,3,261.3
3,24,4,223.8
3,24,5,495.5
3,24,6,554.6
3,24,7,685.9
3,24,8,907.3
3,24,9,623.5
3,25,0,96.1
3,25,1,177.5
3,25,2,136.2
3,25,3,203
3,25,4,221.4
3,25,5,314.6
3,25,6,386.7
3,25,7,634
3,25,8,576.5
3,25,9,898.9
3,25,10,833.9
3,26,0,166.7
3,26,1,205.7
3,26,2,134
3,26,3,147.8
3,26,4,299.6
3,26,5,377.4
3,26,6,388.1
3,26,7,644.6
3,26,8,387.3
3,27,0,161.8
3,27,1,99.5
3,27,2,183
3,27,3,141.4
3,27,4,269.1
3,27,5,415.6
3,27,6,347.4
3,27,7,654.6
3,27,8,470.7
3,27,9,611.3
3,27,10,1151.2
3,28,0,196.9
3,28,1,230.8
3,28,2,238.5
3,28,3,273.2
3,28,4,321.4
3,28,5,387.3
3,28,6,601.2
3,28,7,354.7
