This data sets illustrate a nonlinear mixed model f=a1-a2*exp(-a3*day) to describe the growth of 12 tumor spheroids (Chapter 6).
Apparently, each tumor has its own starting and limiting volume and therefore a1 and a2 should be random (tumor-specific).
This model is an example of marginal nonlinear mixed model. Several special methods of estimation, including Total GEE, are considered.
We derive three critical points of the log-Gompertz growth.
Here pMTS indicates the tumor (cluster) and LOGvolume=log(Volume).


obs pMTS day    LOGvolume 
 1    1   1 1.5347143662
 2    1   2 2.5802168296
 3    1   5 3.0680529351
 4    1   6 3.6136169696
 5    1   7 3.8543938926
 6    1   8 4.0775374439
 7    1   9 4.2835865619
 8    1  12 4.4773368145
 9    1  13 4.5695430083
10    1  14 4.5695430083
11    1  15 4.6634390941
12    1  16 4.7449321284
13    1  19 4.9904325868
14    1  20 5.0689042022
15    1  21 5.0689042022
16    1  22 5.1474944768
17    1  23 5.2203558251
18    1  26 5.3659760150
19    1  27 5.3659760150
20    1  28 5.3659760150
21    1  29 5.3659760150
22    1  30 5.3659760150
23    1  33 5.5012582105
24    1  34 5.2933048247
25    1  35 5.2933048247
26    1  36 5.3659760150
27    1  40 5.3659760150
28    1  41 5.2933048247
29    1  42 5.3659760150
30    1  43 5.3659760150
31    1  44 5.5012582105
32    1  47 5.5012582105
33    1  48 5.5012582105
34    1  49 5.4337220036
35    1  50 5.3659760150
36    1  51 5.2933048247
37    1  54 5.2933048247
38    1  55 5.2203558251
39    1  56 5.3659760150
40    1  57 5.0689042022
41    1  58 5.2933048247
42    1  62 5.2203558251
43    1  63 5.2933048247
44    1  64 5.1474944768
45    1  65 5.2203558251
46    1  68 5.3659760150
47    1  69 5.2933048247
48    1  70 5.2933048247
49    1  71 5.1474944768
50    1  72 5.0689042022
51    1  75 4.9904325868
 52    1  76 5.2203558251
 53    1  77 5.2203558251
 54    1  78 5.2203558251
 55    1  79 5.3659760150
 56    2   1 1.5347143662
 57    2   2 2.2038691201
 58    2   5 3.0680529351
 59    2   6 3.3534067178
 60    2   7 3.7376696183
 61    2   8 4.0775374439
 62    2   9 4.0775374439
 63    2  12 4.4773368145
 64    2  13 4.5695430083
 65    2  14 4.7449321284
 66    2  15 4.9904325868
 67    2  16 5.0689042022
 68    2  19 5.4337220036
 69    2  20 5.5012582105
 70    2  21 5.6937321388
 71    2  22 5.7557422136
 72    2  23 5.8171111600
 73    2  26 6.1569789856
 74    2  27 6.2614916843
 75    2  28 6.2614916843
 76    2  29 6.3135480463
 77    2  30 6.2614916843
 78    2  33 6.4134589572
 79    2  34 6.3630281035
 80    2  35 6.4614681764
 81    2  36 6.4134589572
 82    2  40 6.4614681764
 83    2  41 6.5102583405
 84    2  42 6.4134589572
 85    2  43 6.6502790486
 86    2  44 7.5806997522
 87    2  47 6.5567783562
 88    2  48 6.6039438246
 89    2  49 6.8690144507
 90    2  50 6.9565454432
 91    2  51 7.1147694484
 92    2  54 7.2225660188
 93    2  55 6.7393366274
 94    2  56 6.9939329752
 95    2  57 6.7833252006
 96    2  58 6.6502790486
 97    2  62 6.7833252006
 98    2  63 6.9077552790
 99    2  64 6.8690144507
100    2  65 6.8265452236
101    2  68 6.8690144507
102    2  69 6.8690144507
103    2  70 6.9077552790
104    2  71 6.8690144507
105    2  72 6.9077552790
106    2  75 7.0732697175
107    2  76 7.0732697175
108    2  77 6.9939329752
109    2  78 6.9939329752
110    2  79 7.0299729117
111    3   1 1.5347143662
112    3   2 2.3978952728
113    3   5 3.0680529351
114    3   6 3.3534067178
115    3   7 4.0775374439
116    3   8 4.2835865619
117    3   9 4.3820266347
118    3  12 5.0689042022
119    3  13 5.0689042022
120    3  14 5.1474944768
121    3  15 5.2203558251
122    3  16 5.2933048247
123    3  19 5.6276211137
124    3  20 5.6937321388
125    3  21 5.8749307309
126    3  22 5.9348941956
127    3  23 6.0473721790
128    3  26 6.1569789856
129    3  27 6.1569789856
130    3  28 6.1569789856
131    3  29 6.1569789856
132    3  30 6.1569789856
133    3  33 6.2614916843
134    3  34 6.2106000770
135    3  35 6.2614916843
136    3  36 6.1569789856
137    3  40 6.1569789856
138    3  41 6.1569789856
139    3  42 6.1569789856
140    3  43 6.3135480463
141    3  44 6.3135480463
142    3  47 6.1569789856
143    3  48 6.2614916843
144    3  49 6.3135480463
145    3  50 6.3135480463
146    3  51 6.2614916843
147    3  54 6.3135480463
148    3  55 6.1569789856
149    3  56 6.3135480463
150    3  57 6.2106000770
151    3  58 6.3135480463
152    3  62 6.2106000770
153    3  63 6.3135480463
154    3  64 6.2106000770
155    3  65 6.2106000770
156    3  68 6.2106000770
157    3  69 6.2106000770
158    3  70 6.3135480463
159    3  71 6.2106000770
160    3  72 6.2106000770
161    3  75 6.2106000770
162    3  76 6.3135480463
163    3  77 6.2614916843
164    3  78 6.2614916843
165    3  79 6.3135480463
166    4   1 1.5347143662
167    4   2 2.2038691201
168    4   5 3.0680529351
169    4   6 3.0680529351
170    4   7 3.3534067178
171    4   8 3.6136169696
172    4   9 3.8543938926
173    4  12 4.0775374439
174    4  13 4.1820501426
175    4  14 4.3820266347
176    4  15 4.5695430083
177    4  16 4.5695430083
178    4  19 4.8283137373
179    4  20 4.6634390941
180    4  21 4.9126548857
181    4  22 5.2203558251
182    4  23 5.2203558251
183    4  26 5.2203558251
184    4  27 5.2203558251
185    4  28 5.2203558251
186    4  29 5.2933048247
187    4  30 5.2933048247
188    4  33 5.2203558251
189    4  34 5.4337220036
190    4  35 5.3659760150
191    4  36 5.2203558251
192    4  40 5.0689042022
193    4  41 5.2203558251
194    4  42 5.0689042022
195    4  43 5.2933048247
196    4  44 5.2203558251
197    4  47 5.2203558251
198    4  48 5.1474944768
199    4  49 5.2203558251
200    4  50 5.2203558251
201    4  51 5.2933048247
202    4  54 5.1474944768
203    4  55 5.1474944768
204    4  56 5.2933048247
205    4  57 5.2933048247
206    4  58 5.1474944768
207    4  62 5.1474944768
208    4  63 5.2203558251
209    4  64 5.1474944768
210    4  65 5.1474944768
211    4  68 5.2203558251
212    4  69 5.4337220036
213    4  70 5.3659760150
214    4  71 5.3659760150
215    4  72 5.2933048247
216    4  75 5.3659760150
217    4  76 5.2933048247
218    4  77 5.2203558251
219    4  78 5.2933048247
220    4  79 5.2933048247
221    5   1 0.9858167945
222    5   2 0.9858167945
223    5   5 1.5347143662
224    5   6 1.9974177062
225    5   7 2.2038691201
226    5   8 2.3978952728
227    5   9 2.7536607124
228    5  12 3.3534067178
229    5  13 3.6136169696
230    5  14 3.6136169696
231    5  15 3.6136169696
232    5  16 3.9684033389
233    5  19 4.3820266347
234    5  20 4.2835865619
235    5  21 4.3820266347
236    5  22 4.4773368145
237    5  23 4.8283137373
238    5  26 5.2203558251
239    5  27 5.5012582105
240    5  28 5.5683445038
241    5  29 5.4337220036
242    5  30 5.2203558251
243    5  33 5.8171111600
244    5  34 5.5683445038
245    5  35 5.6937321388
246    5  36 5.8171111600
247    5  40 6.1025585946
248    5  41 6.1025585946
249    5  42 6.1025585946
250    5  43 6.2106000770
251    5  44 6.2106000770
252    5  47 6.3630281035
253    5  48 6.6502790486
254    5  49 6.5567783562
255    5  50 6.1025585946
256    5  51 6.6502790486
257    5  54 6.3135480463
258    5  55 6.3135480463
259    5  56 6.4134589572
260    5  57 6.3135480463
261    5  58 6.4134589572
262    5  62 6.3135480463
263    5  63 6.4614681764
264    5  64 6.4134589572
265    5  65 6.4134589572
266    5  68 6.4134589572
267    5  69 6.4614681764
268    5  70 6.5102583405
269    5  71 6.5102583405
270    5  72 6.4614681764
271    5  75 6.4134589572
272    5  76 6.5102583405
273    5  77 6.5102583405
274    5  78 6.4614681764
275    5  79 6.5102583405
276    6   1 0.9858167945
277    6   2 0.9858167945
278    6   5 0.3148107398
279    6   6 0.9858167945
280    6   7 1.5347143662
281    6   8 1.2725655958
282    6   9 1.5347143662
283    6  12 2.3978952728
284    6  13 2.3978952728
285    6  14 2.3978952728
286    6  15 2.7536607124
287    6  16 2.5802168296
288    6  19 3.2108436532
289    6  20 3.3534067178
290    6  21 3.6136169696
291    6  22 3.7376696183
292    6  23 3.9684033389
293    6  26 4.2835865619
294    6  27 4.3820266347
295    6  28 4.3820266347
296    6  29 4.5695430083
297    6  30 4.5695430083
331    7   1 1.2725655958
332    7   2 1.9974177062
333    7   5 3.0680529351
334    7   6 3.3534067178
335    7   7 3.6136169696
336    7   8 3.7376696183
337    7   9 3.9684033389
338    7  12 4.2835865619
339    7  13 4.4773368145
340    7  14 4.6634390941
341    7  15 4.5695430083
342    7  16 4.6634390941
343    7  19 4.9904325868
344    7  20 4.9904325868
345    7  21 5.2203558251
346    7  22 5.1474944768
347    7  23 5.2933048247
348    7  26 5.2933048247
349    7  27 5.3659760150
350    7  28 5.2933048247
351    7  29 5.2933048247
352    7  30 5.2933048247
353    7  33 5.2933048247
354    7  34 5.3659760150
355    7  35 5.2933048247
356    7  36 5.3659760150
357    7  40 5.2203558251
358    7  41 5.2933048247
359    7  42 5.2933048247
360    7  43 5.3659760150
361    7  44 5.3659760150
362    7  47 5.3659760150
363    7  48 5.2203558251
364    7  49 5.3659760150
365    7  50 5.2933048247
366    7  51 5.3659760150
367    7  54 5.2933048247
368    7  55 5.2933048247
369    7  56 5.3659760150
370    7  57 5.2933048247
371    7  58 5.2933048247
372    7  62 5.2933048247
373    7  63 5.3659760150
374    7  64 5.2203558251
375    7  65 5.2203558251
376    7  68 5.2203558251
377    7  69 5.3659760150
378    7  70 5.3659760150
379    7  71 5.2933048247
380    7  72 5.3659760150
381    7  75 5.1474944768
382    7  76 5.2933048247
383    7  77 5.2203558251
384    7  78 5.2933048247
385    7  79 5.2933048247
386    8   1 1.5347143662
387    8   2 1.9974177062
388    8   5 2.3978952728
389    8   6 3.0680529351
390    8   7 3.6136169696
391    8   8 3.6136169696
392    8   9 3.8543938926
393    8  12 4.1820501426
394    8  13 4.2835865619
395    8  14 4.3820266347
396    8  15 4.4773368145
397    8  16 4.5695430083
398    8  19 4.8283137373
399    8  20 4.8283137373
400    8  21 4.9904325868
401    8  22 5.2933048247
402    8  23 5.3659760150
403    8  26 5.5012582105
404    8  27 5.5012582105
405    8  28 5.5012582105
406    8  29 5.5012582105
407    8  30 5.5012582105
408    8  33 5.5683445038
409    8  34 5.5683445038
410    8  35 5.6937321388
411    8  36 5.4337220036
412    8  40 5.4337220036
413    8  41 5.4337220036
414    8  42 5.4337220036
415    8  43 5.5683445038
416    8  44 5.4337220036
417    8  47 5.5683445038
418    8  48 5.5012582105
419    8  49 5.5683445038
420    8  50 5.5683445038
421    8  51 5.5012582105
422    8  54 6.6039438246
423    8  55 6.3135480463
424    8  56 6.5567783562
425    8  57 6.6502790486
426    8  58 6.8265452236
427    8  62 6.8265452236
428    8  63 6.9565454432
429    8  64 6.8690144507
430    8  65 6.8690144507
431    8  68 6.8265452236
432    8  69 6.9077552790
433    8  70 6.9939329752
434    8  71 6.8690144507
435    8  72 6.9565454432
436    8  75 6.8690144507
437    8  76 6.9565454432
438    8  77 6.9565454432
439    8  78 6.9565454432
440    8  79 6.9565454432
441    9   1 1.5347143662
442    9   2 2.3978952728
443    9   5 3.0680529351
444    9   6 3.0680529351
445    9   7 4.0775374439
446    9   8 3.8543938926
447    9   9 4.0775374439
448    9  12 4.2835865619
449    9  13 4.2835865619
450    9  14 4.2835865619
451    9  15 4.5695430083
452    9  16 4.7449321284
453    9  19 5.2933048247
454    9  20 5.2933048247
455    9  21 5.2933048247
456    9  22 5.4337220036
457    9  23 5.5683445038
458    9  26 5.5683445038
459    9  27 5.5683445038
460    9  28 5.4337220036
461    9  29 5.6276211137
462    9  30 5.6276211137
463    9  33 5.8749307309
464    9  34 5.9348941956
465    9  35 6.1025585946
466    9  36 5.8171111600
467    9  40 6.5102583405
468    9  41 6.5567783562
469    9  42 6.5567783562
470    9  43 7.1467721795
471    9  44 7.2997973668
472    9  47 7.5806997522
473    9  48 7.5806997522
474    9  49 7.7097568645
475    9  50 6.6502790486
476    9  51 6.7393366274
496   10   1 2.2038691201
497   10   2 2.5802168296
498   10   5 3.6136169696
499   10   6 4.2835865619
500   10   7 4.6634390941
501   10   8 5.1474944768
502   10   9 5.1474944768
503   10  12 5.2933048247
504   10  13 5.2933048247
505   10  14 5.3659760150
506   10  15 5.3659760150
507   10  16 5.3659760150
508   10  19 5.8749307309
509   10  20 5.8171111600
510   10  21 5.8171111600
511   10  22 5.7557422136
512   10  23 5.8171111600
513   10  26 6.0473721790
514   10  27 6.1569789856
515   10  28 6.0473721790
516   10  29 6.0473721790
517   10  30 5.9348941956
518   10  33 6.0473721790
519   10  34 6.1569789856
520   10  35 6.0473721790
521   10  36 6.1025585946
522   10  40 5.9914645471
523   10  41 5.8749307309
524   10  42 5.9348941956
525   10  43 6.0473721790
526   10  44 6.1569789856
527   10  47 6.1569789856
528   10  48 6.1025585946
529   10  49 6.2614916843
530   10  50 6.1025585946
531   10  51 6.2106000770
532   10  54 6.2614916843
533   10  55 6.1569789856
534   10  56 6.2106000770
535   10  57 6.2106000770
536   10  58 6.2106000770
537   10  62 6.5567783562
538   10  63 6.0473721790
539   10  64 5.9914645471
540   10  65 6.0473721790
541   10  68 6.1025585946
542   10  69 6.1569789856
543   10  70 6.2614916843
544   10  71 6.1569789856
545   10  72 6.4134589572
546   10  75 6.4134589572
547   10  76 6.4134589572
548   10  77 6.4614681764
549   10  78 6.4614681764
550   10  79 6.4614681764
551   11   1 0.9858167945
552   11   2 1.9974177062
553   11   5 2.3978952728
554   11   6 2.7536607124
555   11   7 3.0680529351
556   11   8 3.3534067178
557   11   9 3.6136169696
558   11  12 4.0775374439
559   11  13 4.0775374439
560   11  14 4.1820501426
561   11  15 4.2835865619
562   11  16 4.3820266347
563   11  19 4.9126548857
564   11  20 4.9904325868
565   11  21 4.9904325868
566   11  22 4.9904325868
567   11  23 5.1474944768
568   11  26 5.0689042022
569   11  27 5.1474944768
570   11  28 5.2203558251
571   11  29 5.2933048247
572   11  30 5.2203558251
573   11  33 5.2933048247
574   11  34 5.3659760150
575   11  35 5.3659760150
576   11  36 5.2933048247
577   11  40 5.2203558251
578   11  41 5.1474944768
579   11  42 5.2933048247
580   11  43 5.5683445038
581   11  44 5.2933048247
582   11  47 5.5683445038
583   11  48 5.5012582105
584   11  49 5.5683445038
585   11  50 5.5012582105
586   11  51 5.5012582105
587   11  54 5.5683445038
588   11  55 5.2933048247
589   11  56 5.2933048247
590   11  57 5.2933048247
591   11  58 5.2933048247
592   11  62 5.4337220036
593   11  63 5.2933048247
594   11  64 5.2933048247
595   11  65 5.2203558251
596   11  68 5.2933048247
597   11  69 5.2933048247
598   11  70 5.5683445038
599   11  71 5.4337220036
600   11  72 5.4337220036
601   11  75 5.2933048247
602   11  76 5.3659760150
603   11  77 5.4337220036
604   11  78 5.5012582105
605   11  79 5.5012582105
606   12   1 1.5347143662
607   12   2 2.3978952728
608   12   5 3.6136169696
609   12   6 4.0775374439
610   12   7 4.2835865619
611   12   8 4.4773368145
612   12   9 4.6634390941
613   12  12 5.0689042022
614   12  13 5.2203558251
615   12  14 5.3659760150
616   12  15 5.4337220036
617   12  16 5.5012582105
618   12  19 5.7557422136
619   12  20 5.7557422136
620   12  21 5.7557422136
621   12  22 5.7557422136
622   12  23 5.9914645471
623   12  26 5.9914645471
624   12  27 6.0473721790
625   12  28 6.2106000770
626   12  29 6.0473721790
627   12  30 6.1569789856
628   12  33 6.1025585946
629   12  34 6.1569789856
630   12  35 6.1025585946
631   12  36 5.9914645471
632   12  40 5.9914645471
633   12  41 6.1025585946
634   12  42 7.1853870156
635   12  43 6.2106000770
636   12  44 7.1853870156
637   12  47 5.8171111600
638   12  48 5.8171111600
639   12  49 6.2106000770
640   12  50 6.4134589572
641   12  51 6.4134589572
642   12  54 7.9550742733
